subject,question,option1,option2,option3,correct_option
Operating Systems,Which OS is Apple?,MacOS,Windows,Linux,1
Operating Systems,Which scheduling is FIFO?,FCFS,SJF,RR,1
Operating Systems,Which scheduling is shortest job?,SJF,FCFS,RR,1
Operating Systems,Which scheduling is round robin?,RR,SJF,FCFS,1
Operating Systems,Which memory is volatile?,RAM,ROM,Hard Disk,1
Operating Systems,Which memory is non-volatile?,ROM,RAM,Cache,1
Operating Systems,Which is secondary memory?,Hard Disk,RAM,Cache,1
Operating Systems,Which is primary memory?,RAM,Hard Disk,CD,1
Operating Systems,Which handles input/output?,OS,CPU,RAM,1
Operating Systems,Which provides interface?,OS,CPU,BIOS,1
Operating Systems,Which is CLI OS?,DOS,Windows,Android,1
Operating Systems,Which is GUI OS?,Windows,DOS,CLI,1
Operating Systems,Which is time sharing OS?,Unix,DOS,RTOS,1
Operating Systems,Which is distributed OS?,Distributed,Windows,DOS,1
Operating Systems,Which is network OS?,NOS,DOS,RTOS,1
Operating Systems,Which is batch OS?,Batch,Interactive,Real Time,1
Operating Systems,Which is multi user OS?,Unix,DOS,Windows 98,1
Operating Systems,Which command shows files?,ls,cd,mkdir,1
Operating Systems,Which command changes directory?,cd,ls,rm,1
Operating Systems,Which command removes file?,rm,del,erase,1
Operating Systems,Which command creates folder?,mkdir,make,create,1
Operating Systems,Which is paging?,Memory management,Scheduling,File system,1
Operating Systems,Which is segmentation?,Memory division,Process,Thread,1
Operating Systems,Which avoids deadlock?,Prevention,Execution,Allocation,1
Operating Systems,Which is deadlock?,Process waiting,Execution,Completion,1
Operating Systems,Which is starvation?,Process waiting forever,Execution,Completion,1
Operating Systems,Which is thrashing?,Excess paging,CPU use,Disk error,1
Operating Systems,Which is virtual memory?,Extra memory,Cache,ROM,1
Operating Systems,Which is swap?,Memory exchange,CPU change,Disk read,1
Operating Systems,Which is process?,Program in execution,File,Folder,1
Operating Systems,Which is thread?,Lightweight process,Program,File,1
Operating Systems,Which is context switch?,Process switch,Memory clear,CPU reset,1
Operating Systems,Which is interrupt?,Signal to CPU,Memory,Disk,1
Operating Systems,Which is system call?,OS request,Program,File,1
Operating Systems,Which is shell?,Command interface,Kernel,File,1
Operating Systems,Which is booting?,Start OS,Stop OS,Restart file,1
SQL,What does SQL stand for?,Structured Query Language,Simple Query List,System Query Logic,1
SQL,Which command retrieves data?,SELECT,GET,FETCH,1
SQL,Which clause filters rows?,WHERE,GROUP BY,ORDER BY,1
SQL,Which command deletes table?,DROP,DELETE,REMOVE,1
SQL,Primary key is?,Unique identifier,Duplicate value,Optional field,1
SQL,Which clause sorts data?,ORDER BY,SORT,ARRANGE,1
SQL,Which clause groups rows?,GROUP BY,ORDER BY,WHERE,1
SQL,Which command inserts data?,INSERT,ADD,PUT,1
SQL,Which operator checks NULL?,IS NULL,= NULL,== NULL,1
SQL,Which keyword joins tables?,JOIN,MERGE,CONNECT,1
SQL,Which command updates data?,UPDATE,MODIFY,CHANGE,1
SQL,Which removes records?,DELETE,REMOVE,ERASE,1
SQL,Which creates table?,CREATE,MAKE,BUILD,1
SQL,Which deletes database?,DROP,DELETE,REMOVE,1
SQL,Which constraint ensures uniqueness?,UNIQUE,PRIMARY,FOREIGN,1
SQL,Which clause limits output?,LIMIT,TOP,BOUND,1
SQL,Which operator is AND?,AND,&&,&,1
SQL,Which operator is OR?,OR,||,|,1
SQL,Which clause renames column?,AS,RENAME,CHANGE,1
SQL,Which function counts rows?,COUNT(),SUM(),TOTAL(),1
SQL,Which function averages?,AVG(),MEAN(),AVERAGE(),1
SQL,Which finds max?,MAX(),TOP(),HIGH(),1
SQL,Which finds min?,MIN(),LOW(),SMALL(),1
SQL,Which adds column?,ALTER,MODIFY,UPDATE,1
SQL,Which deletes column?,DROP,DELETE,REMOVE,1
SQL,Which shows tables?,SHOW,DISPLAY,LIST,1
SQL,Which selects all?,*,ALL,EVERY,1
SQL,Which removes duplicates?,DISTINCT,UNIQUE,REMOVE,1
SQL,Which clause filters groups?,HAVING,WHERE,FILTER,1
SQL,Which joins all rows?,CROSS JOIN,INNER JOIN,LEFT JOIN,1
SQL,Which join keeps all left?,LEFT JOIN,RIGHT JOIN,FULL JOIN,1
SQL,Which join keeps all right?,RIGHT JOIN,LEFT JOIN,FULL JOIN,1
SQL,Which join keeps matches?,INNER JOIN,OUTER JOIN,CROSS JOIN,1
SQL,Which join keeps all?,FULL JOIN,INNER JOIN,LEFT JOIN,1
SQL,Which creates index?,CREATE INDEX,ADD INDEX,MAKE INDEX,1
SQL,Which deletes index?,DROP INDEX,REMOVE INDEX,DELETE INDEX,1
SQL,Which keyword groups?,GROUP BY,ORDER BY,WHERE,1
SQL,Which keyword filters?,WHERE,FILTER,SELECT,1
SQL,Which sorts descending?,DESC,DOWN,LOW,1
SQL,Which sorts ascending?,ASC,UP,HIGH,1
SQL,Which combines results?,UNION,JOIN,MERGE,1
SQL,Which removes duplicates in union?,UNION,UNION ALL,JOIN,1
SQL,Which keeps duplicates?,UNION ALL,UNION,JOIN,1
SQL,Which creates view?,CREATE VIEW,MAKE VIEW,BUILD VIEW,1
SQL,Which deletes view?,DROP VIEW,REMOVE VIEW,DELETE VIEW,1
SQL,Which renames table?,RENAME,ALTER,CHANGE,1
SQL,Which checks condition?,WHERE,IF,CASE,1
SQL,Which keyword is used for alias?,AS,ALIAS,NAME,1
SQL,Which keyword is used for conditions?,CASE,IF,WHEN,1
